Symbol,Name,Last Sale,Net Change,% Change,Market Cap
AAPL,Apple Inc. Common Stock,$150.59,-2.28,-1.491%,"2,610,830,030,600"
MSFT,Microsoft Corporation Common Stock,$252.32,-1.38,-0.544%,"1,878,220,507,447"
GOOG,Alphabet Inc. Class C Capital Stock,$92.66,-1.99,-2.102%,"1,186,696,620,000"
GOOGL,Alphabet Inc. Class A Common Stock,$92.32,-1.93,-2.048%,"1,182,342,240,000"
AMZN,"Amazon.com, Inc. Common Stock",$92.25,-1.67,-1.778%,"938,817,936,450"
PCAR,PACCAR Inc. Common Stock,$74.31,-1.65,-2.172%,"902,713,039,298"
BRK/A,Berkshire Hathaway Inc.,"$461,030.00","-10,972.00",-2.325%,"678,117,040,220"
BRK/B,Berkshire Hathaway Inc.,$304.82,-6.55,-2.104%,"672,527,832,108"
NVDA,NVIDIA Corporation Common Stock,$234.36,-7.45,-3.081%,"576,525,600,000"
TSLA,"Tesla, Inc. Common Stock",$172.92,-9.08,-4.989%,"547,136,639,057"
META,"Meta Platforms, Inc. Class A Common Stock",$181.69,-3.28,-1.773%,"471,056,679,476"
V,Visa Inc.,$220.01,-2.18,-0.981%,"462,413,956,341"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$88.88,-1.95,-2.147%,"460,931,680,000"
XOM,Exxon Mobil Corporation Common Stock,$109.13,-0.85,-0.773%,"445,468,660,000"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$464.91,-5.69,-1.209%,"434,388,227,528"
JNJ,Johnson & Johnson Common Stock,$151.24,-1.72,-1.124%,"393,872,260,466"
JPM,JP Morgan Chase & Co. Common Stock,$130.34,-7.46,-5.414%,"382,456,662,000"
WMT,Walmart Inc. Common Stock,$137.17,-0.93,-0.673%,"369,920,063,407"
MA,Mastercard Incorporated Common Stock,$354.44,-4.59,-1.278%,"337,867,283,751"
PG,Procter & Gamble Company (The) Common Stock,$136.57,-1.01,-0.734%,"322,188,309,191"
NVO,Novo Nordisk A/S Common Stock,$142.03,0.57,0.403%,"319,824,517,772"
CVX,Chevron Corporation Common Stock,$160.51,-2.48,-1.522%,"310,368,323,018"
LLY,Eli Lilly and Company Common Stock,$316.85,4.31,1.379%,"301,063,867,615"
HD,"Home Depot, Inc. (The) Common Stock",$288.00,-3.49,-1.197%,"293,525,574,336"
MRK,"Merck & Company, Inc. Common Stock (new)",$107.60,-0.68,-0.628%,"272,808,606,802"
ABBV,AbbVie Inc. Common Stock,$147.35,-2.25,-1.504%,"260,721,085,727"
AVGO,Broadcom Inc. Common Stock,$622.52,-9.74,-1.541%,"259,543,319,313"
