,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
0,EGRNF,China Evergrande Group,0.0400,+0.0100,+33.33%,"43,612","35,871",3.701B,0.24,10/03/2023 01:46:54
1,ASAN,"Asana, Inc.",21.17,+3.37,+18.93%,27.399M,3.293M,4.504B,N/A,10/03/2023 01:46:54
2,DNPLY,"Dai Nippon Printing Co., Ltd.",15.61,+1.89,+13.78%,"25,485","35,366",8.296B,12.49,10/03/2023 01:46:54
3,HCM,HUTCHMED (China) Limited,15.11,+1.54,+11.35%,"486,829","292,866",2.613B,N/A,10/03/2023 01:46:54
4,GOL,Gol Linhas Aéreas Inteligentes S.A.,3.1600,+0.2400,+8.22%,5.18M,1.604M,5.055B,N/A,10/03/2023 01:46:54
5,NARI,"Inari Medical, Inc.",57.85,+3.76,+6.95%,1.591M,"798,742",3.142B,N/A,10/03/2023 01:46:54
6,NVEI,Nuvei Corporation,38.77,+2.36,+6.48%,1.043M,"371,162",5.502B,84.28,10/03/2023 01:46:54
7,GE,General Electric Company,91.56,+4.58,+5.27%,28.44M,7.616M,99.735B,172.75,10/03/2023 01:46:54
8,STAA,STAAR Surgical Company,60.99,+2.60,+4.45%,1.558M,"797,467",2.942B,78.19,10/03/2023 01:46:54
9,NPNYY,Nippon Yusen Kabushiki Kaisha,5.47,+0.22,+4.29%,"20,114","59,410",13.861B,1.54,10/03/2023 01:46:54
10,AHKSY,Asahi Kasei Corporation,14.20,+0.56,+4.11%,"65,282","171,459",9.947B,15.43,10/03/2023 01:46:54
11,TTNDY,Techtronic Industries Company Limited,52.71,+1.95,+3.84%,"64,018","50,488",19.417B,16.79,10/03/2023 01:46:54
12,UBSFY,Ubisoft Entertainment SA,4.7800,+0.1600,+3.46%,"126,576","112,289",2.993B,N/A,10/03/2023 01:46:54
13,LFST,"LifeStance Health Group, Inc.",5.79,+0.19,+3.39%,"952,416","475,859",2.177B,N/A,10/03/2023 01:46:54
14,AJINY,"Ajinomoto Co., Inc.",32.70,+1.02,+3.22%,"17,053","9,818",17.554B,34.06,10/03/2023 01:46:54
