,Symbols,Names,Prices,Change,% Change,Volume,Average Volume,Market Cap,Ration,date/time
0,SIVB,SVB Financial Group,106.04,-161.79,-60.41%,"883,915",33.203M,6.278B,4.18,10/03/2023 15:53:14
1,PACW,PacWest Bancorp,19.89,-6.79,-25.45%,1.423M,11.392M,2.393B,5.90,10/03/2023 15:53:14
2,STGW,Stagwell Inc.,6.81,-1.98,-22.53%,"501,474",3.997M,3.218B,42.56,10/03/2023 15:53:14
3,FRC,First Republic Bank,96.01,-18.99,-16.51%,1.63M,9.231M,17.879B,11.64,10/03/2023 15:53:14
4,WAL,Western Alliance Bancorporation,62.36,-9.20,-12.86%,"923,815",4.542M,7.844B,7.37,10/03/2023 15:53:14
5,SCHW,The Charles Schwab Corporation,66.47,-9.73,-12.77%,7.958M,40.057M,121.568B,18.99,10/03/2023 15:53:14
6,JDCMF,"JD.com, Inc.",20.50,-2.85,-12.21%,"45,008","108,747",70.967B,292.86,10/03/2023 15:53:14
7,SBNY,Signature Bank,90.76,-12.59,-12.18%,1.254M,8.474M,5.716B,4.44,10/03/2023 15:53:14
8,ZION,"Zions Bancorporation, National Association",41.36,-5.32,-11.40%,1.402M,5.341M,6.148B,7.14,10/03/2023 15:53:14
9,JD,"JD.com, Inc.",41.68,-5.30,-11.28%,7.719M,37.31M,71.714B,260.50,10/03/2023 15:53:14
10,GRBMF,"Grupo Bimbo, S.A.B. de C.V.",4.7000,-0.5500,-10.48%,486,"21,728",20.838B,16.21,10/03/2023 15:53:14
11,AX,"Axos Financial, Inc.",40.94,-4.75,-10.40%,"308,798","646,960",2.456B,9.50,10/03/2023 15:53:14
12,COLB,"Columbia Banking System, Inc.",24.70,-2.66,-9.72%,2.128M,5.986M,5.144B,7.72,10/03/2023 15:53:14
13,PHJMF,PT Hanjaya Mandala Sampoerna Tbk,0.0700,-0.0075,-9.68%,"445,957","191,809",8.142B,N/A,10/03/2023 15:53:14
14,MSTR,MicroStrategy Incorporated,210.82,-21.90,-9.41%,"571,457","824,185",2.435B,N/A,10/03/2023 15:53:14
15,LKNCY,Luckin Coffee Inc.,25.24,-2.61,-9.37%,1.529M,2.016M,6.691B,126.20,10/03/2023 15:53:14
16,ALBKY,Alpha Services and Holdings S.A.,0.3000,-0.0300,-9.09%,"36,888","105,793",3.169B,30.00,10/03/2023 15:53:14
17,HELE,Helen of Troy Limited,104.13,-10.29,-8.99%,"414,623",1.427M,2.498B,17.01,10/03/2023 15:53:14
18,LYFT,"Lyft, Inc.",8.92,-0.88,-8.98%,18.666M,26.117M,3.373B,N/A,10/03/2023 15:53:14
19,NEX,NexTier Oilfield Solutions Inc.,9.34,-0.92,-8.97%,3.494M,6.081M,2.183B,7.72,10/03/2023 15:53:14
20,AI,"C3.ai, Inc.",22.70,-2.12,-8.54%,16.783M,17.214M,2.547B,N/A,10/03/2023 15:53:14
21,HPK,"HighPeak Energy, Inc.",24.20,-2.25,-8.51%,"227,484","386,972",2.739B,13.75,10/03/2023 15:53:14
22,FQVLF,First Quantum Minerals Ltd.,19.94,-1.84,-8.45%,"44,413","21,879",13.825B,13.38,10/03/2023 15:53:14
23,MDB,"MongoDB, Inc.",209.57,-19.13,-8.36%,1.609M,7.927M,14.52B,N/A,10/03/2023 15:53:14
24,EWBC,"East West Bancorp, Inc.",66.79,-6.09,-8.36%,"848,313",1.363M,9.418B,8.43,10/03/2023 15:53:14
25,WBS,Webster Financial Corporation,45.25,-4.05,-8.22%,1.028M,1.944M,7.874B,13.23,10/03/2023 15:53:14
26,BAIDF,"Baidu, Inc.",16.34,-1.46,-8.20%,"13,254","500,552",48.457B,49.52,10/03/2023 15:53:14
27,AMLX,"Amylyx Pharmaceuticals, Inc.",33.16,-2.94,-8.14%,"809,030","718,808",2.197B,N/A,10/03/2023 15:53:14
28,BKU,"BankUnited, Inc.",30.42,-2.69,-8.12%,"680,411",1.144M,2.273B,8.59,10/03/2023 15:53:14
29,QFIN,"360 DigiTech, Inc.",18.01,-1.58,-8.07%,1.302M,1.955M,2.872B,4.51,10/03/2023 15:53:14
30,LU,Lufax Holding Ltd,1.9500,-0.1700,-8.02%,16.338M,22.054M,4.469B,2.95,10/03/2023 15:53:14
31,CMA,Comerica Incorporated,61.91,-5.39,-8.01%,1.516M,3.997M,8.132B,7.31,10/03/2023 15:53:14
32,BILI,Bilibili Inc.,18.62,-1.62,-8.00%,8.526M,8.093M,7.13B,N/A,10/03/2023 15:53:14
33,SID,Companhia Siderúrgica Nacional,3.2400,-0.2800,-7.95%,3.004M,4.523M,4.496B,9.26,10/03/2023 15:53:14
