,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
0,TSLA,"Tesla, Inc.",172.92,-9.08,-4.99%,170.024M,182.393M,547.136B,50.27,10/03/2023 01:46:54
1,BAC,Bank of America Corporation,30.54,-2.02,-6.20%,110.916M,37.05M,244.298B,9.57,10/03/2023 01:46:54
2,AMD,"Advanced Micro Devices, Inc.",84.03,-1.34,-1.57%,79.497M,56.267M,135.405B,102.48,10/03/2023 01:46:54
3,F,Ford Motor Company,12.45,-0.53,-4.08%,64.84M,62.818M,49.628B,N/A,10/03/2023 01:46:54
4,INTC,Intel Corporation,26.44,+0.46,+1.77%,54.886M,42.63M,109.382B,13.63,10/03/2023 01:46:54
5,SWN,Southwestern Energy Company,5.05,-0.31,-5.78%,40.153M,24.045M,5.555B,3.06,10/03/2023 01:46:54
6,AAPL,Apple Inc.,150.59,-2.28,-1.49%,53.834M,73.182M,2.383T,25.57,10/03/2023 01:46:54
7,AMZN,"Amazon.com, Inc.",92.25,-1.67,-1.78%,55.83M,72.032M,945.313B,N/A,10/03/2023 01:46:54
8,NIO,NIO Inc.,8.79,-0.39,-4.25%,48.261M,45.755M,14.684B,N/A,10/03/2023 01:46:54
9,NVDA,NVIDIA Corporation,234.36,-7.45,-3.08%,49.452M,48.511M,584.025B,99.73,10/03/2023 01:46:54
10,BBD,Banco Bradesco S.A.,2.7500,0.0000,0.00%,45.948M,35.483M,29.266B,7.64,10/03/2023 01:46:54
11,LUMN,"Lumen Technologies, Inc.",2.8800,-0.1400,-4.64%,41.555M,29.438M,2.884B,N/A,10/03/2023 01:46:54
12,RIVN,"Rivian Automotive, Inc.",14.53,-0.60,-3.97%,40.791M,29.892M,12.836B,N/A,10/03/2023 01:46:54
13,SCHW,The Charles Schwab Corporation,66.47,-9.73,-12.77%,40.057M,7.958M,121.568B,18.99,10/03/2023 01:46:54
14,CCL,Carnival Corporation & plc,9.99,-0.54,-5.13%,37.007M,39.561M,12.983B,N/A,10/03/2023 01:46:54
15,JD,"JD.com, Inc.",41.68,-5.30,-11.28%,37.31M,7.719M,71.714B,260.50,10/03/2023 01:46:54
16,SIVB,SVB Financial Group,106.04,-161.79,-60.41%,33.203M,"883,915",6.278B,4.18,10/03/2023 01:46:54
17,ITUB,Itaú Unibanco Holding S.A.,4.7600,-0.1000,-2.06%,30.817M,32.164M,46.652B,8.35,10/03/2023 01:46:54
18,RIG,Transocean Ltd.,6.66,-0.44,-6.20%,30.578M,22.874M,4.837B,N/A,10/03/2023 01:46:54
19,WFC,Wells Fargo & Company,41.13,-2.71,-6.18%,32.832M,18.076M,156.042B,13.10,10/03/2023 01:46:54
20,C,Citigroup Inc.,48.60,-2.08,-4.10%,28.997M,17.574M,94.464B,6.84,10/03/2023 01:46:54
21,PBR,Petróleo Brasileiro S.A. - Petrobras,11.04,-0.24,-2.13%,30.04M,26.776M,72.004B,2.05,10/03/2023 01:46:54
22,PLTR,Palantir Technologies Inc.,7.69,-0.44,-5.41%,28.281M,42.701M,16.16B,N/A,10/03/2023 01:46:54
23,GE,General Electric Company,91.56,+4.58,+5.27%,28.44M,7.616M,99.735B,172.75,10/03/2023 01:46:54
24,UBER,"Uber Technologies, Inc.",32.32,-1.69,-4.97%,27.523M,24.208M,64.96B,N/A,10/03/2023 01:46:54
25,ASAN,"Asana, Inc.",21.17,+3.37,+18.93%,27.399M,3.293M,4.504B,N/A,10/03/2023 01:46:54
26,DSEY,"Diversey Holdings, Ltd.",8.14,-0.04,-0.49%,26.523M,1.649M,2.64B,N/A,10/03/2023 01:46:54
27,SOFI,"SoFi Technologies, Inc.",6.09,-0.38,-5.87%,26.982M,37.253M,4.87B,N/A,10/03/2023 01:46:54
28,META,"Meta Platforms, Inc.",181.69,-3.28,-1.77%,26.52M,32.469M,471.057B,21.45,10/03/2023 01:46:54
29,SNAP,Snap Inc.,10.66,-0.39,-3.53%,25.56M,33.539M,16.857B,N/A,10/03/2023 01:46:54
30,JPM,JPMorgan Chase & Co.,130.34,-7.46,-5.41%,25.497M,9.658M,383.638B,10.77,10/03/2023 01:46:54
31,KEY,KeyCorp,16.07,-1.24,-7.16%,25.232M,11.416M,14.974B,9.03,10/03/2023 01:46:54
32,LYFT,"Lyft, Inc.",8.92,-0.88,-8.98%,26.117M,18.666M,3.373B,N/A,10/03/2023 01:46:54
33,T,AT&T Inc.,18.32,-0.29,-1.56%,23.767M,34.895M,130.619B,N/A,10/03/2023 01:46:54
34,GOOGL,Alphabet Inc.,92.32,-1.93,-2.05%,28.498M,37.808M,1.184T,20.65,10/03/2023 01:46:54
35,GOOG,Alphabet Inc.,92.66,-1.99,-2.10%,24.33M,30.188M,1.184T,20.68,10/03/2023 01:46:54
36,BABA,Alibaba Group Holding Limited,83.37,-3.58,-4.12%,24.078M,20.982M,222.826B,49.04,10/03/2023 01:46:54
37,SHOP,Shopify Inc.,43.00,-0.70,-1.60%,23.213M,20.273M,54.894B,N/A,10/03/2023 01:46:54
38,NU,Nu Holdings Ltd.,4.7400,-0.2500,-5.01%,22.971M,27.117M,22.21B,N/A,10/03/2023 01:46:54
39,MPW,"Medical Properties Trust, Inc.",9.58,-0.50,-4.96%,22.587M,15.304M,5.732B,6.39,10/03/2023 01:46:54
40,NYCB,"New York Community Bancorp, Inc.",7.84,-0.53,-6.33%,22.059M,8.532M,5.716B,6.64,10/03/2023 01:46:54
41,MSFT,Microsoft Corporation,252.32,-1.38,-0.54%,26.589M,31.558M,1.878T,28.00,10/03/2023 01:46:54
42,LU,Lufax Holding Ltd,1.9500,-0.1700,-8.02%,22.054M,16.338M,4.469B,2.95,10/03/2023 01:46:54
43,CS,Credit Suisse Group AG,2.7700,-0.1300,-4.48%,21.708M,21.464M,10.986B,N/A,10/03/2023 01:46:54
44,VZ,Verizon Communications Inc.,36.55,-0.98,-2.61%,26.128M,22.236M,153.506B,7.22,10/03/2023 01:46:54
45,HBAN,Huntington Bancshares Incorporated,13.74,-0.70,-4.85%,20.986M,13.934M,19.827B,9.48,10/03/2023 01:46:54
46,COIN,"Coinbase Global, Inc.",58.09,-4.92,-7.81%,20.704M,17.648M,15.214B,5.94,10/03/2023 01:46:54
47,LCID,"Lucid Group, Inc.",8.00,-0.34,-4.08%,19.968M,33.014M,14.644B,N/A,10/03/2023 01:46:54
48,GPS,"The Gap, Inc.",11.58,-0.38,-3.18%,18.881M,6.947M,4.227B,77.20,10/03/2023 01:46:54
49,WBD,"Warner Bros. Discovery, Inc.",14.77,-0.57,-3.72%,19.337M,26.344M,35.892B,N/A,10/03/2023 01:46:54
50,SIRI,Sirius XM Holdings Inc.,3.8000,-0.0600,-1.55%,18.992M,15.884M,14.784B,12.26,10/03/2023 01:46:54
51,NCLH,Norwegian Cruise Line Holdings Ltd.,14.38,-0.90,-5.89%,18.682M,14.126M,6.067B,N/A,10/03/2023 01:46:54
52,PFE,Pfizer Inc.,39.46,-0.66,-1.65%,18.528M,22.512M,221.728B,7.21,10/03/2023 01:46:54
53,AAL,American Airlines Group Inc.,15.88,-0.71,-4.28%,18.505M,25.27M,10.345B,88.22,10/03/2023 01:46:54
54,DNA,"Ginkgo Bioworks Holdings, Inc.",1.2500,-0.0700,-5.30%,18.349M,21.581M,2.567B,N/A,10/03/2023 01:46:54
55,AFRM,"Affirm Holdings, Inc.",11.31,-0.82,-6.76%,17.954M,18.612M,3.325B,N/A,10/03/2023 01:46:54
56,AI,"C3.ai, Inc.",22.70,-2.12,-8.54%,17.214M,16.783M,2.547B,N/A,10/03/2023 01:46:54
