,Symbol,Name,Price,Market Time,Change,Change %,Volume,Market cap,date/time
0,SIVB,SVB Financial Group,106.04,4:00PM EST,-161.79,-60.41%,33.203M,6.278B,10/03/2023 01:46:54
1,BTC-USD,Bitcoin USD,"19,919.76",8:23AM UTC,"-1,734.66",-8.01%,37.577B,384.714B,10/03/2023 01:46:54
2,BAC,Bank of America Corporation,30.54,4:00PM EST,-2.02,-6.20%,110.916M,244.298B,10/03/2023 01:46:54
3,JPM,JPMorgan Chase & Co.,130.34,4:00PM EST,-7.46,-5.41%,25.497M,383.638B,10/03/2023 01:46:54
4,ES=F,S&P Futures,"3,892.00",3:16AM EST,-28.00,-0.71%,"204,343",N/A,10/03/2023 01:46:54
5,DOCU,"DocuSign, Inc.",64.41,4:00PM EST,-1.25,-1.90%,8.284M,12.951B,10/03/2023 01:46:54
6,YM=F,Dow Futures,"32,028.00",3:16AM EST,-231.00,-0.72%,"27,820",N/A,10/03/2023 01:46:54
7,^VIX,CBOE Volatility Index,22.61,4:15PM EST,+3.50,+18.32%,0,N/A,10/03/2023 01:46:54
8,SCHW,The Charles Schwab Corporation,66.47,4:00PM EST,-9.73,-12.77%,40.057M,121.568B,10/03/2023 01:46:54
9,NQ=F,Nasdaq Futures,"11,956.25",3:16AM EST,-51.00,-0.42%,"65,176",N/A,10/03/2023 01:46:54
10,FRC,First Republic Bank,96.01,4:03PM EST,-18.99,-16.51%,9.231M,17.879B,10/03/2023 01:46:54
11,ETH-USD,Ethereum USD,"1,409.18",8:23AM UTC,-127.04,-8.27%,11.693B,172.447B,10/03/2023 01:46:54
12,WFC,Wells Fargo & Company,41.13,4:03PM EST,-2.71,-6.18%,32.832M,156.042B,10/03/2023 01:46:54
13,ORCL,Oracle Corporation,86.87,4:04PM EST,-1.62,-1.83%,9.557M,234.223B,10/03/2023 01:46:54
14,C,Citigroup Inc.,48.60,4:03PM EST,-2.08,-4.10%,28.997M,94.464B,10/03/2023 01:46:54
15,GE,General Electric Company,91.56,4:00PM EST,+4.58,+5.27%,28.44M,99.735B,10/03/2023 01:46:54
16,OCEA,"Ocean Biomedical, Inc.",10.56,4:00PM EST,+5.87,+125.16%,60.57M,386.289M,10/03/2023 01:46:54
17,NQH23.CME,Nasdaq 100 Mar 23,"11,956.25",3:16AM EST,-51.00,-0.42%,"65,176",N/A,10/03/2023 01:46:54
18,KRE,SPDR S&P Regional Banking ETF,53.02,4:00PM EST,-4.68,-8.11%,57.213M,N/A,10/03/2023 01:46:54
19,SPY,SPDR S&P 500 ETF Trust,391.56,4:00PM EST,-7.36,-1.84%,111.08M,359.367B,10/03/2023 01:46:54
20,GS,"The Goldman Sachs Group, Inc.",342.09,4:00PM EST,-7.20,-2.06%,3.15M,114.745B,10/03/2023 01:46:54
21,^GSPC,S&P 500,"3,918.32",5:08PM EST,-73.69,-1.85%,2.605B,N/A,10/03/2023 01:46:54
22,ESH23.CME,E-Mini S&P 500 Mar 23,"3,892.00",3:16AM EST,-28.00,-0.71%,"204,343",N/A,10/03/2023 01:46:54
23,BTC-EUR,Bitcoin EUR,"18,835.27",8:24AM UTC,"-1,640.22",-8.01%,35.531B,363.769B,10/03/2023 01:46:54
24,RTY=F,Russell 2000 Futures,"1,808.60",3:16AM EST,-18.60,-1.02%,"12,325",N/A,10/03/2023 01:46:54
25,XLF,Financial Select Sector SPDR Fund,33.54,4:00PM EST,-1.42,-4.06%,107.109M,29.631B,10/03/2023 01:46:54
26,UVXY,ProShares Ultra VIX Short-Term Futures ETF,5.18,4:00PM EST,+0.69,+15.37%,80.306M,N/A,10/03/2023 01:46:54
27,SSYS,Stratasys Ltd.,14.01,4:00PM EST,-0.27,-1.89%,"593,616",944.568M,10/03/2023 01:46:54
28,1211.HK,BYD Company Limited,201.200,4:08PM HKT,-17.800,-8.13%,24.64M,701.896B,10/03/2023 01:46:54
29,ULTA,"Ulta Beauty, Inc.",519.93,4:00PM EST,-4.17,-0.80%,1.159M,26.454B,10/03/2023 01:46:54
